身,somebody,1248.0
鋏,scissors,2773.0
官,bureaucrat,1271.0
骨,skeleton,1288.0
丘,hill,1329.0
男,male,859.0
酋,chieftain,2906.0
鼓,drum,1444.0
平,even,1484.0
匹,equal,1695.0
井,well,1806.0
呉,give,1897.0
牙,tusk,1904.0
長,long,1920.0
単,simple,1928.0
能,ability,2004.0
升,measuring box,42.0
朝,morning,52.0
原,meadow,134.0
永,eternity,132.0
太,plump,120.0
則,rule,88.0
炎,inflammation,162.0
黒,black,174.0
安,relax,190.0
朋,companion,19.0
末,extremity,217.0
右,right,78.0
先,before,248.0
全,whole,263.0
本,book,211.0
真,true,75.0
首,neck,70.0
告,revelation,247.0
洪,deluge,1799.0
光,ray,119.0
敬,awe,334.0
吾,I,17.0
売,sell,323.0
若,young,223.0
式,style,353.0
定,determine,382.0
建,build,391.0
帝,sovereign,435.0
員,employee,56.0
万,ten thousand,64.0
此,this here,2043.0
廷,courts,508.0
刃,blade,84.0
夏,summer,296.0
布,linen,405.0
左,left,77.0
舎,cottage,316.0
史,history,692.0
丈,length,691.0
奴,guy,702.0
広,wide,739.0
育,bring up,759.0
充,allot,761.0
曼,mandala,2100.0
加,add,867.0
利,profit,906.0
秀,excel,914.0
庄,shire,2238.0
求,request,934.0
固,harden,580.0
呆,dumbfounded,2181.0
代,substitute,1005.0
丙,third class,1020.0
鋤,plow,2756.0
善,virtuous,1035.0
鼎,tripod,2865.0
復,restore,875.0
居,reside,1063.0
斬,chop off,2092.0
争,contend,1154.0
君,old boy,1162.0
尭,lofty,2095.0
之,of,1214.0
不,negative,1217.0
知,know,1223.0
孝,filial piety,1253.0
足,leg,1279.0
章,badge,433.0
疑,doubt,1410.0
卯,sign of the hare,2041.0
臼,mortar,2063.0
既,previously,1481.0
竿,pole,2632.0
害,harm,1551.0
奉,dedicate,1573.0
捧,dedicate,2265.0
票,ballot,1606.0
南,south,1613.0
侯,marquis,1639.0
動,move,1676.0
斉,adjusted,1729.0
央,center,1740.0
赤,red,1743.0
某,so-and-so,1759.0
甚,tremendously,1768.0
貴,precious,1771.0
異,uncommon,1797.0
角,angle,1812.0
般,carrier,1871.0
瓜,melon,1877.0
革,leather,1893.0
了,complete,97.0
三,three,3.0
毛,fur,1913.0
朔,first day of the month,2846.0
昌,prosperous,25.0
母,mama,101.0
胡,uncivilized,2470.0
昭,shining,87.0
兜,helmet,2854.0
守,guard,186.0
介,jammed in,250.0
名,name,112.0
前,in front,290.0
客,guest,294.0
壮,robust,321.0
吉,good luck,320.0
武,warrior,377.0
冒,risk,18.0
晃,limpid,2446.0
帯,sash,415.0
制,system,418.0
雲,cloud,423.0
北,north,445.0
昆,descendants,448.0
乞,beg,462.0
鏡,mirror,483.0
然,sort of thing,241.0
竜,dragon,536.0
焦,char,557.0
回,-times,586.0
忍,endure,597.0
志,intention,600.0
卓,eminent,51.0
荒,laid waste,488.0
貫,pierce,102.0
感,emotion,615.0
処,dispose,297.0
妾,concubine,2622.0
刑,punish,679.0
冗,superfluous,300.0
将,leader,731.0
受,accept,735.0
愛,love,737.0
灰,ashes,168.0
下,below,50.0
入,enter,779.0
容,contain,790.0
旬,decameron,67.0
朱,vermilion,221.0
死,death,815.0
最,utmost,821.0
替,exchange,842.0
蔵,storehouse,850.0
巨,gigantic,856.0
徴,indications,887.0
呈,display,262.0
多,many,108.0
秋,autumn,900.0
恵,favor,612.0
委,committee,913.0
迷,astray,924.0
量,quantity,177.0
亭,pavilion,311.0
放,set free,496.0
到,arrival,755.0
貞,upright,55.0
賞,prize,796.0
憂,melancholy,616.0
保,protect,997.0
任,responsibility,1003.0
頃,about that time,2791.0
何,what,1012.0
久,long time,1016.0
府,municipality,1002.0
肉,meat,1022.0
坐,sitting in meditation,2844.0
以,by means of,1028.0
瓦,tile,1031.0
夜,night,1037.0
易,easy,1051.0
尼,nun,1054.0
屏,folding screen,2223.0
屋,roof,1058.0
濠,moat,2306.0
戻,re-,1081.0
雇,employ,1083.0
尉,military officer,1095.0
禁,prohibition,1098.0
宗,religion,1100.0
察,guess,1103.0
斥,reject,1138.0
需,demand,1165.0
両,both,1168.0
庶,commoner,1191.0
